total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon
25438.63636,3,19.327,773.55,3,3,9,6,1,2,531,0,255,9,7.409090909,1,670.0,725.8333333,9,0,0.0,14931.92308,50.83076923,1,0,11,0,8.0,0.0,3.0,10.0,7.0,2,8272,827.2
24000.0,3,12.089,785.62,1,2,10,1,0,2,550,0,371,7,20.86363636,0,544.0909091,634.7727273,12,0,0.0,25982.92308,68.7,1,0,1,0,6.0,0.0,4.0,9.0,6.0,0,0,0.0
21818.18182,3,8.01,762.08,0,1,2,8,0,2,526,4,331,8,13.71272727,0,580.9090909,629.3181818,13,1,1.0,15887.30769,66.23076923,1,0,3,104,3.0,0.0,9.0,17.0,11.0,1,10525,0.0
16072.72727,5,16.489,323.48,2,3,4,1,0,1,540,0,324,10,9.190909091,0,680.0,793.3333333,13,0,0.0,13546.15385,47.35384615,0,0,6,0,6.0,0.0,8.0,13.0,5.0,1,760,0.0
27772.72727,5,11.421,530.98,2,3,0,0,2,0,549,4,664,39,20.17,0,560.4545455,653.8636364,13,0,0.0,29706.92308,68.8,0,0,3,4,4.0,0.0,14.0,14.0,7.0,0,0,0.0
24545.45455,5,18.205,738.34,3,3,0,10,0,1,550,0,36,13,25.61727273,0,568.6363636,663.4090909,22,0,0.0,45518.0,49.84615385,0,0,1,0,14.0,0.0,5.0,33.0,19.0,2,12968,0.0
22909.09091,3,11.49,692.4,1,1,7,10,2,0,562,0,197,4,17.84,0,597.2727273,696.8181818,11,0,0.0,51753.46154,60.5,0,0,5,0,4.0,0.0,9.0,10.0,6.0,0,3978,397.8
10800.0,3,12.303,367.39,2,3,10,2,1,0,554,0,64,14,21.92727273,0,600.0,650.0,8,0,0.0,4233.461538,58.2,0,0,4,0,2.0,0.0,15.0,3.0,2.0,0,0,0.0
5454.545455,3,10.99,196.41,1,3,3,0,1,1,559,2,172,13,9.698181818,0,604.5454545,705.3030303,7,2,0.0,3608.769231,77.30769231,0,0,9,5,5.0,0.0,6.0,5.0,4.0,1,1077,215.4
8181.818182,3,13.332,332.72,1,3,11,3,1,0,510,4,177,26,23.06,0,690.0,747.5,14,0,0.0,13638.0,72.73846154,1,0,10,56353,4.0,0.0,4.0,9.0,5.0,1,4192,1257.6
5318.181818,3,5.32,195.75,0,2,8,0,2,0,545,4,423,4,20.34545455,0,731.8181818,853.7878788,23,0,0.0,2343.384615,3.230769231,0,0,10,4,4.0,0.0,7.0,28.0,16.0,3,2874,287.4
8181.818182,5,17.991,264.89,3,1,4,10,0,2,563,0,13,10,20.28,0,568.6363636,616.0227273,8,1,1.0,3756.0,52.8,0,0,8,0,4.0,0.0,8.0,5.0,3.0,3,4027,805.4
23636.36364,3,9.009,628.49,0,0,4,3,0,1,539,4,14,11,13.39090909,0,747.2727273,809.5454545,8,0,0.0,21702.15385,93.0,0,0,8,4,4.0,0.0,8.0,15.0,6.0,0,0,0.0
17454.54545,3,11.49,633.05,1,1,8,10,1,0,557,0,503,8,15.16363636,1,720.0,780.0,12,2,1.0,6389.538462,76.03076923,0,0,3,0,6.0,0.0,8.0,17.0,11.0,0,0,0.0
15709.09091,3,8.67,607.62,1,1,11,1,1,0,538,0,32,21,8.34,4,552.2727273,690.3409091,7,0,0.0,6732.923077,84.5,0,0,10,0,2.0,0.0,12.0,9.0,8.0,0,6037,0.0
18181.81818,3,7.89,625.72,0,1,9,10,0,1,542,0,329,18,10.92,0,715.0,774.5833333,3,0,0.0,18527.38462,99.61538462,1,0,4,0,2.0,0.0,3.0,9.0,4.0,2,6639,663.9
4363.636364,3,15.741,164.78,2,4,0,10,0,2,538,0,31,2,17.32909091,2,540.0,630.0,10,0,0.0,2850.0,25.30769231,1,0,5,0,3.0,0.0,5.0,24.0,17.0,3,1516,0.0
33031.81818,5,17.991,740.35,4,3,11,4,0,2,548,0,122,9,25.89090909,0,725.4545455,785.9090909,15,0,0.0,72120.46154,88.61538462,1,0,7,0,11.0,0.0,8.0,22.0,18.0,0,0,0.0
8000.0,3,17.171,279.72,3,1,6,10,1,1,538,0,38,21,36.13636364,0,774.5454545,968.1818182,7,0,0.0,5888.615385,33.6,0,0,7,0,4.0,0.0,4.0,21.0,14.0,0,0,0.0
13236.36364,3,15.389,382.74,2,1,11,7,1,2,509,0,35,14,36.53454545,0,730.9090909,791.8181818,10,0,0.0,8246.0,50.07692308,1,0,9,38,4.0,0.0,4.0,9.0,5.0,3,4144,828.8
5454.545455,3,8.679,156.43,0,3,1,10,0,0,554,4,311,2,15.29090909,0,609.0909091,761.3636364,7,3,3.0,1581.230769,25.10769231,0,0,7,2,3.0,0.0,10.0,13.0,6.0,0,0,0.0
8775.0,3,18.205,310.9,3,4,4,10,1,2,547,0,361,8,27.45454545,0,730.0,790.8333333,7,0,0.0,4087.384615,23.76923077,0,0,2,0,3.0,0.0,2.0,6.0,3.0,0,0,0.0
2727.272727,3,10.923,80.59,1,3,7,8,1,0,569,9,313,43,13.5,0,552.2727273,644.3181818,7,1,1.0,5748.923077,66.83076923,0,0,10,10,4.0,0.0,6.0,11.0,6.0,3,104,0.0
6545.454545,3,15.389,273.39,2,1,9,1,1,1,544,0,4,3,10.19090909,0,715.0,893.75,3,0,0.0,1082.0,49.96153846,0,0,8,0,2.0,0.0,4.0,6.0,3.0,3,252,75.6
12272.72727,5,21.989,397.33,4,3,5,10,0,1,547,2,56,8,14.05090909,0,600.0,700.0,11,1,0.0,5943.692308,37.47692308,1,0,7,5,5.0,0.0,14.0,14.0,11.0,5,4149,829.8
11454.54545,3,7.69,327.54,0,3,9,7,1,1,534,4,143,8,15.09818182,0,645.4545455,806.8181818,8,0,0.0,7111.384615,59.26153846,0,0,10,4,4.0,0.0,11.0,10.0,4.0,0,0,0.0
26400.0,5,18.891,654.56,4,4,8,10,0,2,549,0,130,33,20.29,0,774.5454545,968.1818182,9,0,0.0,28078.15385,84.57692308,0,0,6,0,6.0,0.0,3.0,13.0,11.0,0,0,0.0
21818.18182,3,11.39,658.48,1,1,7,2,1,0,562,4,188,23,20.86,0,715.0,893.75,28,0,0.0,21935.84615,27.92307692,1,0,8,4,10.0,0.0,12.0,21.0,18.0,0,6329,632.9
5454.545455,3,7.101,187.72,0,3,4,10,2,0,555,5,4,3,13.08181818,0,765.0,892.5,14,0,0.0,6838.846154,17.19230769,1,0,7,6,6.0,0.0,4.0,14.0,10.0,0,1048,209.6
8727.272727,3,12.001,261.57,1,3,8,8,0,1,570,2,166,8,6.1,0,725.4545455,906.8181818,10,0,0.0,9468.0,59.44615385,0,0,1,5,4.0,0.0,4.0,12.0,5.0,3,120,12.0
14545.45455,3,14.069,537.49,2,1,11,10,2,1,558,2,29,19,21.73,0,774.5454545,839.0909091,8,8,3.0,2558.0,13.38461538,0,0,7,5,3.0,0.0,5.0,9.0,4.0,3,6615,661.5
9000.0,3,15.61,314.69,3,3,7,0,0,0,549,0,588,4,12.39545455,0,747.2727273,809.5454545,8,0,0.0,2721.230769,37.69230769,1,0,1,0,6.0,0.0,2.0,11.0,6.0,0,0,0.0
9600.0,3,14.663,324.99,2,3,9,2,1,2,547,5,469,27,20.09,0,725.4545455,906.8181818,8,0,0.0,11117.07692,88.95384615,0,0,12,6,5.0,0.0,8.0,8.0,3.0,0,1825,547.5
14743.18182,3,13.59,433.07,2,3,4,2,1,2,526,0,140,8,22.44545455,0,675.0,787.5,26,1,0.0,23983.84615,70.38461538,0,0,9,299,18.0,0.0,9.0,27.0,20.0,3,4758,0.0
4363.636364,3,9.79,152.42,0,1,4,7,0,0,501,5,176,3,13.73727273,0,774.5454545,839.0909091,10,0,0.0,52442.30769,90.23076923,1,0,8,2079,4.0,0.0,4.0,9.0,5.0,0,0,0.0
2954.545455,3,13.959,83.87,2,1,9,2,0,0,543,0,195,38,15.70909091,0,552.2727273,644.3181818,4,0,0.0,7177.692308,101.1923077,1,0,3,0,2.0,0.0,3.0,5.0,1.0,0,0,0.0
27272.72727,5,17.86,632.94,3,1,9,9,0,2,544,2,453,14,29.87,0,695.0,810.8333333,37,0,0.0,28940.0,46.15384615,1,0,2,5,26.0,0.0,24.0,32.0,14.0,0,0,0.0
6340.909091,3,12.141,262.97,2,1,12,10,0,2,564,0,271,35,25.9,0,640.9090909,747.7272727,12,0,0.0,13751.07692,31.01538462,0,0,11,0,6.0,0.0,4.0,14.0,7.0,0,0,0.0
9272.727273,5,17.091,264.54,4,1,2,8,0,1,533,0,249,36,17.05909091,9,720.0,840.0,14,0,0.0,1375.384615,106.9384615,1,0,6,0,1.0,0.0,26.0,11.0,8.0,4,264,26.4
13909.09091,3,6.03,517.41,0,3,0,1,0,0,534,4,47,17,14.01818182,0,840.0,980.0,8,0,0.0,15457.0,37.03846154,0,0,8,4,3.0,0.0,6.0,5.0,5.0,2,2346,234.6
10000.0,3,18.18,372.66,4,3,11,10,1,0,534,0,230,2,22.69090909,0,670.0,837.5,6,0,0.0,5595.692308,57.1,0,0,6,0,2.0,0.0,6.0,4.0,3.0,3,2741,0.0
11454.54545,5,12.62,236.87,2,1,7,10,0,0,571,2,0,0,27.18181818,2,745.0,869.1666667,16,0,0.0,9430.153846,32.1,0,0,2,5,7.0,0.0,6.0,22.0,10.0,0,4950,990.0
5665.909091,3,15.8,242.78,2,1,4,6,1,0,513,0,5,4,23.01818182,0,675.0,731.25,11,0,0.0,24039.69231,91.10769231,1,0,1,299,8.0,0.0,8.0,14.0,11.0,1,2490,249.0
19000.0,3,7.689,586.58,0,4,3,10,1,0,564,0,157,8,9.109090909,0,658.6363636,823.2954545,17,0,0.0,5945.538462,5.815384615,1,0,3,0,3.0,0.0,5.0,22.0,11.0,0,0,0.0
18081.81818,5,17.919,405.64,3,4,6,10,1,2,537,0,523,13,8.445454545,0,600.0,750.0,4,2,0.0,8680.0,80.12307692,0,0,2,0,2.0,0.0,5.0,5.0,2.0,4,2526,505.2
5672.727273,5,10.026,104.7,1,1,0,10,2,2,511,5,427,21,20.7,0,597.2727273,696.8181818,11,0,0.0,18669.23077,43.07692308,1,0,8,63,7.0,0.0,2.0,13.0,7.0,1,1902,0.0
5454.545455,3,10.323,197.78,1,3,10,10,1,1,556,0,521,24,13.94,0,747.2727273,871.8181818,10,1,0.0,3768.0,53.7,0,0,7,2,6.0,0.0,25.0,10.0,4.0,0,0,0.0
1963.636364,3,9.531,78.11,1,3,11,0,2,1,499,3,111,8,0.63,0,621.8181818,777.2727273,3,0,0.0,187.3846154,8.7,1,0,2,5132,4.0,0.0,4.0,9.0,5.0,2,419,83.8
20000.0,5,20.99,540.96,4,1,3,9,0,1,537,0,727,43,35.28,2,618.1818182,772.7272727,8,0,0.0,551.5384615,19.9,0,0,12,0,1.0,0.0,20.0,4.0,1.0,3,7851,0.0
19090.90909,3,7.35,651.79,0,3,9,10,0,0,570,0,64,14,13.09,0,580.9090909,629.3181818,8,0,0.0,4760.769231,18.92307692,0,0,11,0,2.0,0.0,5.0,6.0,5.0,0,0,0.0
14181.81818,3,14.09,444.88,1,3,9,5,0,0,519,0,453,14,14.79090909,0,568.6363636,710.7954545,8,0,0.0,15947.07692,76.1,1,0,12,2959,3.0,0.0,5.0,7.0,4.0,3,619,123.8
9981.818182,3,14.839,413.96,2,3,13,10,0,2,568,0,161,14,28.25454545,0,604.5454545,654.9242424,9,0,0.0,20225.69231,64.4,0,0,8,0,4.0,0.0,15.0,16.0,4.0,1,3947,0.0
6440.909091,3,15.291,194.29,3,2,11,10,1,0,537,4,439,0,18.13636364,0,552.2727273,644.3181818,6,0,0.0,7978.923077,94.98461538,0,0,8,4,5.0,0.0,1.0,6.0,4.0,3,2334,233.4
17454.54545,3,13.33,541.65,2,3,13,10,1,1,544,0,208,28,20.32363636,0,636.3636364,689.3939394,6,0,0.0,8110.384615,90.13846154,1,0,2,0,2.0,0.0,13.0,2.0,1.0,3,61,18.3
41363.63636,5,22.35,973.64,4,5,4,0,0,1,557,0,181,42,24.17454545,0,665.0,775.8333333,15,0,0.0,23125.84615,72.2,0,0,3,0,6.0,0.0,27.0,15.0,5.0,0,0,0.0
27272.72727,3,15.31,870.39,3,2,0,0,0,0,480,2,129,30,13.38181818,0,695.0,752.9166667,14,0,0.0,28813.0,48.35384615,1,0,9,16667,4.0,0.0,4.0,9.0,5.0,0,0,0.0
9818.181818,3,13.519,400.24,2,2,9,2,2,1,545,0,191,5,32.90181818,0,705.0,763.75,17,0,0.0,2973.461538,32.6,0,0,7,0,4.0,0.0,35.0,5.0,2.0,1,3217,965.1
39738.63636,3,15.488,1150.53,2,4,3,3,0,2,571,0,455,13,7.027272727,0,725.4545455,906.8181818,11,0,0.0,15001.84615,100.5846154,0,0,11,0,7.0,0.0,10.0,9.0,5.0,0,0,0.0
25675.0,5,18.997,543.09,2,0,4,10,0,2,512,0,123,12,12.61,0,580.9090909,629.3181818,11,0,0.0,15626.15385,88.73846154,1,0,6,2001,10.0,0.0,7.0,16.0,14.0,3,2276,455.2
10000.0,3,7.579,308.27,0,3,2,10,0,0,546,0,31,2,18.12,1,564.5454545,658.6363636,20,0,0.0,45484.61538,76.15384615,0,0,7,0,6.0,0.0,21.0,17.0,7.0,3,2179,435.8
41363.63636,5,16.074,886.11,3,3,9,7,1,1,549,0,51,13,16.1,1,774.5454545,839.0909091,21,0,0.0,34016.0,48.6,0,0,4,0,10.0,0.0,6.0,29.0,15.0,3,2985,895.5
20000.0,3,13.98,683.36,2,3,1,10,1,1,527,4,89,3,14.63636364,2,725.4545455,785.9090909,23,0,0.0,30879.69231,53.76923077,1,0,4,4,18.0,0.0,4.0,42.0,31.0,1,3541,354.1
8181.818182,3,12.089,327.34,1,3,5,5,2,1,550,0,408,14,9.87,0,660.0,770.0,3,0,0.0,4158.0,101.1923077,0,0,12,0,2.0,0.0,7.0,6.0,4.0,3,4181,418.1
16363.63636,3,6.62,460.56,0,3,0,6,0,0,515,2,16,5,1.78,0,770.0,834.1666667,5,0,0.0,155.7692308,3.461538462,1,0,11,664,1.0,0.0,6.0,5.0,5.0,0,0,0.0
17000.0,5,20.339,479.86,4,3,1,10,0,2,551,0,495,14,21.62,0,685.0,799.1666667,3,0,0.0,3330.923077,71.9,0,0,3,0,1.0,0.0,14.0,2.0,2.0,0,0,0.0
13000.0,3,7.11,344.2,0,3,4,7,0,1,528,4,460,27,18.65454545,0,627.2727273,784.0909091,10,0,0.0,15220.15385,38.12307692,1,0,5,4,4.0,0.0,7.0,5.0,4.0,2,2663,798.9
27000.0,3,10.49,1072.43,1,2,0,10,0,1,567,0,4,3,16.68,0,780.0,845.0,15,0,0.0,17170.46154,25.52307692,1,0,4,0,5.0,0.0,4.0,17.0,8.0,1,5966,0.0
11454.54545,3,12.49,468.29,1,1,10,5,1,1,533,4,109,21,20.93727273,0,636.3636364,689.3939394,8,0,0.0,15399.69231,102.6307692,0,0,5,4,6.0,0.0,3.0,14.0,12.0,0,0,0.0
8181.818182,3,10.923,290.11,1,2,3,10,0,1,572,0,184,26,24.45818182,0,730.9090909,913.6363636,18,1,1.0,9757.846154,48.03076923,0,0,8,0,4.0,0.0,11.0,16.0,8.0,2,217,0.0
13090.90909,3,13.53,407.4,1,1,4,0,0,1,529,0,167,8,13.61454545,0,685.0,799.1666667,9,1,1.0,11248.61538,62.46153846,1,0,10,0,8.0,0.0,6.0,27.0,14.0,1,2535,760.5
11904.54545,5,20.817,411.26,5,3,9,10,1,2,552,0,774,7,26.19,0,680.0,736.6666667,8,0,0.0,7308.923077,69.69230769,0,0,12,0,6.0,0.0,5.0,8.0,5.0,0,0,0.0
16363.63636,5,14.193,483.93,3,2,2,4,0,0,552,0,526,20,16.17818182,0,720.0,780.0,6,0,0.0,21223.0,103.3846154,1,0,11,0,4.0,0.0,12.0,7.0,3.0,0,0,0.0
10022.72727,3,10.341,363.51,1,3,9,10,1,2,560,4,480,8,20.7,0,685.0,799.1666667,3,0,0.0,15476.53846,75.8,1,0,1,4,2.0,0.0,1.0,3.0,1.0,0,0,0.0
32672.72727,5,10.908,668.04,1,2,10,2,0,2,522,0,4,3,11.42,0,801.8181818,1002.272727,11,0,0.0,20884.0,37.84615385,1,0,8,0,4.0,0.0,4.0,26.0,18.0,5,2173,217.3
5909.090909,3,14.895,177.15,3,3,0,10,2,0,545,3,244,14,32.07272727,0,769.0909091,897.2727273,6,0,0.0,8028.461538,98.88461538,1,0,7,3,2.0,0.0,8.0,15.0,7.0,3,291,87.3
8181.818182,3,15.984,360.33,3,1,6,4,1,0,524,4,196,14,17.63181818,0,609.0909091,659.8484848,10,0,0.0,12067.38462,90.34615385,0,0,10,24054,7.0,0.0,6.0,9.0,5.0,0,0,0.0
29754.54545,3,9.44,872.94,1,0,13,2,1,0,568,0,225,18,18.04909091,0,812.7272727,1015.909091,20,0,0.0,13416.92308,18.6,1,0,2,0,7.0,0.0,5.0,25.0,13.0,3,7936,2380.8
26181.81818,3,17.149,838.92,3,3,4,10,0,2,540,4,456,21,9.670909091,4,552.2727273,690.3409091,7,0,0.0,19077.0,99.11538462,1,0,3,4,5.0,0.0,12.0,36.0,26.0,0,0,0.0
27272.72727,3,7.551,787.92,0,4,9,10,0,1,537,4,107,30,6.201818182,0,645.4545455,753.030303,4,0,0.0,18058.92308,72.69230769,0,0,1,4,4.0,0.0,2.0,6.0,4.0,3,9158,0.0
21272.72727,3,12.584,593.06,1,4,0,4,0,1,566,0,145,8,16.53636364,1,548.1818182,639.5454545,9,0,0.0,9474.230769,63.69230769,0,0,12,0,5.0,0.0,9.0,8.0,4.0,2,8839,1767.8
6000.0,3,8.253,191.28,1,2,9,10,0,0,541,0,266,31,15.94545455,0,556.3636364,695.4545455,9,0,0.0,3170.0,41.7,1,0,3,0,2.0,0.0,10.0,11.0,6.0,3,1656,496.8
14727.27273,5,13.739,303.66,1,3,7,10,1,0,534,0,53,19,18.53454545,1,636.3636364,689.3939394,13,0,0.0,19386.0,35.21538462,1,0,10,0,6.0,0.0,17.0,21.0,12.0,3,191,57.3
27181.81818,3,14.49,791.58,2,5,9,4,2,2,535,0,221,8,11.50363636,0,613.6363636,715.9090909,17,0,0.0,20442.46154,28.15384615,1,0,8,0,7.0,0.0,2.0,14.0,14.0,3,2011,402.2
11200.0,5,22.55,299.86,4,3,0,10,0,1,552,2,355,18,17.61,1,660.0,715.0,8,0,0.0,12139.61538,74.1,0,0,11,5,4.0,0.0,16.0,11.0,8.0,5,4376,437.6
20090.90909,3,12.089,556.48,1,3,5,8,1,2,527,0,184,26,24.66,0,556.3636364,602.7272727,17,0,0.0,21871.23077,61.15384615,0,0,8,23511,12.0,0.0,25.0,20.0,8.0,0,1364,136.4
4727.272727,3,9.819,130.79,1,0,9,10,1,1,573,0,708,13,6.75,0,736.3636364,797.7272727,9,0,0.0,4991.538462,52.1,0,0,11,0,7.0,0.0,6.0,11.0,7.0,0,0,0.0
13590.90909,5,23.628,314.23,4,2,0,10,2,2,508,0,476,5,24.87272727,0,600.0,650.0,15,0,0.0,4069.692308,36.0,1,0,8,106,4.0,0.0,4.0,9.0,5.0,3,2309,230.9
9272.727273,3,12.303,289.15,1,3,9,6,1,1,527,0,99,8,14.80909091,0,675.0,731.25,10,1,1.0,5984.307692,71.88461538,0,0,12,858,8.0,0.0,8.0,16.0,12.0,0,0,0.0
15200.0,5,11.061,340.35,2,4,5,2,2,0,549,0,591,40,33.80727273,0,585.0,731.25,13,0,0.0,15249.23077,58.89230769,1,0,2,0,4.0,0.0,15.0,15.0,6.0,0,0,0.0
18327.27273,5,23.639,459.14,3,3,4,2,1,2,562,0,301,21,23.98090909,0,665.0,831.25,32,1,0.0,13337.30769,68.76923077,0,0,3,0,5.0,0.0,39.0,20.0,10.0,0,5063,0.0
7250.0,3,10.75,236.5,1,1,2,10,2,0,554,4,396,7,28.94,0,640.9090909,801.1363636,20,0,0.0,8052.153846,19.92307692,1,0,9,4,10.0,0.0,4.0,22.0,10.0,3,2649,0.0
8068.181818,3,8.426,276.73,0,3,5,8,0,0,494,0,533,15,26.42727273,0,740.0,801.6666667,15,0,0.0,12525.0,25.2,1,0,3,1379,4.0,0.0,4.0,9.0,5.0,3,349,69.8
10000.0,3,7.11,312.91,0,0,12,2,1,0,527,4,463,48,19.49090909,0,580.9090909,677.7272727,9,0,0.0,8271.846154,44.07692308,1,0,9,4,3.0,0.0,5.0,13.0,1.0,2,2607,521.4
16363.63636,5,19.327,503.21,3,3,6,0,1,2,536,0,741,13,16.45454545,0,730.9090909,913.6363636,17,0,0.0,35824.61538,77.53846154,0,0,7,0,9.0,0.0,13.0,15.0,5.0,0,0,0.0
17454.54545,5,15.22,382.49,2,1,11,10,0,2,522,5,200,22,17.21818182,0,700.0,758.3333333,13,0,0.0,1486.153846,12.0,1,0,5,36926,2.0,0.0,5.0,15.0,8.0,1,554,166.2
28000.0,3,12.897,961.47,2,3,4,4,0,2,520,0,197,4,7.330909091,0,556.3636364,602.7272727,7,0,0.0,15742.15385,82.4,1,0,5,70,5.0,0.0,5.0,8.0,4.0,3,10347,1034.7
13000.0,3,7.551,409.72,0,4,11,1,1,0,534,0,79,2,5.800909091,1,618.1818182,772.7272727,3,0,0.0,11853.23077,66.46153846,0,0,9,0,3.0,0.0,7.0,4.0,4.0,0,0,0.0
2272.727273,3,7.777,77.28,0,1,4,10,1,0,568,4,499,13,19.42727273,0,878.1818182,1097.727273,17,0,0.0,5464.615385,9.230769231,0,0,11,4,7.0,0.0,1.0,31.0,19.0,0,0,0.0
5200.0,3,17.99,159.05,3,1,0,1,0,1,557,0,113,22,16.67272727,0,618.1818182,669.6969697,13,0,0.0,31446.92308,50.3,0,0,8,0,8.0,0.0,8.0,15.0,6.0,3,2139,427.8
35000.0,5,19.332,956.35,4,3,6,10,0,2,506,0,331,8,19.33,0,564.5454545,705.6818182,13,0,0.0,16446.46154,69.03076923,1,0,10,0,4.0,0.0,4.0,9.0,5.0,5,15535,4660.5
17454.54545,3,16.254,578.93,3,3,10,10,1,1,570,4,595,23,19.99,0,540.0,585.0,14,0,0.0,17212.61538,81.23076923,0,0,11,4,12.0,0.0,2.0,14.0,11.0,3,6885,1377.0
15729.54545,5,15.291,477.69,3,3,9,6,1,2,557,0,309,30,21.09090909,0,659.0909091,714.0151515,5,0,0.0,5154.153846,45.23076923,0,0,3,0,2.0,0.0,6.0,6.0,6.0,0,0,0.0
12272.72727,5,15.488,349.65,2,0,8,6,0,2,572,0,476,5,20.48,0,585.0,731.25,11,0,0.0,16675.38462,27.89230769,0,0,10,0,8.0,0.0,12.0,13.0,8.0,0,4802,1440.6
12763.63636,5,13.67,249.46,1,1,0,6,1,1,526,0,447,30,6.602727273,0,740.0,925.0,9,0,0.0,4392.769231,23.69230769,1,0,3,25511,3.0,0.0,2.0,11.0,6.0,0,0,0.0
5000.0,3,11.165,161.69,1,1,10,10,1,0,534,4,62,13,5.574545455,0,548.1818182,593.8636364,8,0,0.0,4066.0,35.07692308,0,0,1,4,6.0,0.0,0.0,9.0,3.0,2,1523,152.3
3272.727273,3,14.814,106.16,2,0,3,2,0,2,581,9,340,14,10.58727273,0,720.0,900.0,7,0,0.0,2747.230769,41.1,1,0,6,10,3.0,0.0,3.0,10.0,4.0,0,0,0.0
21818.18182,3,9.17,637.58,1,1,9,10,0,1,537,4,371,7,12.53636364,0,695.0,752.9166667,9,0,0.0,29959.61538,80.6,1,0,3,4,6.0,0.0,11.0,19.0,9.0,3,279,0.0
7500.0,3,17.919,264.76,2,0,4,10,1,0,521,4,313,43,11.97818182,0,747.2727273,809.5454545,9,1,1.0,5123.0,31.01538462,1,0,10,1158,3.0,0.0,2.0,15.0,12.0,0,0,0.0
9818.181818,3,11.858,391.62,1,3,6,10,2,1,553,4,582,14,10.15363636,0,634.0909091,792.6136364,6,0,0.0,0.0,0.0,0,0,9,4,0.0,0.0,3.0,11.0,5.0,0,4637,0.0
7200.0,3,11.421,241.53,2,2,0,3,0,2,543,4,189,9,18.29090909,0,548.1818182,685.2272727,16,0,0.0,20692.0,66.3,1,0,9,4,6.0,0.0,16.0,25.0,9.0,3,2138,213.8
27272.72727,5,19.327,629.01,3,3,7,10,0,0,547,0,166,8,26.33,0,774.5454545,968.1818182,22,0,0.0,27434.0,44.4,0,0,12,0,11.0,0.0,10.0,32.0,23.0,0,8558,1711.6
